name,facultyid
Fakultät für Architektur und Raumplanung,1616
Fakultät für Elektrotechnik und Informationstechnik,1637
Fakultät für Bauingenieurwesen,1607
Fakultät für Mathematik und Geoinformation,1562
Fakultät für Maschinenwesen und Betriebswissenschaften,1670
Fakultät für Informatik,1601
Fakultät für Physik,1589
Fakultät für Technische Chemie,1644
